step,reward,scaled_training_reward,agent_decisions,shield_interventions,shield_rate,expert_agreements,expert_agreement_rate,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
355.0,-1.25,-15.399999999999999,284,0,0.0,282,0.9929577464788732,26,0,5,124,150,0,18.0,0.6923076923076923,7.1030570519993725,2,11.0,4.491685523711978e-06,1,5.0,0.3567973347386319,1,10.0,0.46560372261500776,1,5.0,0.4576600388332663,5,31.0
360.0,-0.75,-15.549999999999999,288,0,0.0,286,0.9930555555555556,25,0,3,125,150,0,20.0,0.8,7.116795528426459,0,7.0,0.293079196969807,1,9.0,0.08453138328055317,2,20.0,0.45958114875265166,0,6.0,0.5192138967015049,3,42.0
365.0,-1.25,-15.799999999999997,292,0,0.0,290,0.9931506849315068,22,0,5,129,151,0,41.0,1.8636363636363635,7.52178218884402,0,0.0,1.0,2,18.0,0.6004999796316354,2,30.0,0.06416630137525288,1,3.0,0.1049355787570491,5,51.0
370.0,-0.5,-15.899999999999997,296,0,0.0,294,0.9932432432432432,22,0,2,131,153,0,7.0,0.3181818181818182,8.626880253505599,0,0.0,0.9140902981489585,0,10.0,0.7240453885197777,2,22.0,0.09204076641685294,0,5.0,0.11519442172904876,2,37.0
375.0,-0.5,-15.999999999999996,300,0,0.0,298,0.9933333333333333,20,0,2,135,155,0,17.0,0.85,10.255315820549844,0,0.0,0.9557804885695531,0,2.0,0.4442334713003076,2,19.0,0.3060244047350172,0,4.0,0.8599743214615769,2,25.0
380.0,-0.5,-16.1,304,0,0.0,302,0.993421052631579,18,0,2,139,157,0,8.0,0.4444444444444444,10.0231498827383,0,0.0,0.6434885729299329,2,10.0,0.4953073097554266,0,11.0,0.609841705945296,0,4.0,0.8966269379435803,2,25.0
385.0,-0.5,-16.200000000000003,308,0,0.0,306,0.9935064935064936,18,0,2,141,159,0,7.0,0.3888888888888889,8.989279606396412,1,5.0,0.691020753231936,0,6.0,0.6631580308448012,0,0.0,0.11172080220012791,1,4.0,0.4557094939545713,2,15.0
390.0,-0.75,-16.35,312,0,0.0,310,0.9935897435897436,18,0,3,142,160,0,6.0,0.3333333333333333,8.553591029195754,1,2.0,0.4122155356052599,1,1.0,0.6494143482868757,1,4.0,2.5393852349988216e-05,0,2.0,0.5477916924747243,3,9.0
395.0,-0.5,-16.450000000000003,316,0,0.0,314,0.9936708860759493,18,0,2,145,163,0,15.0,0.8333333333333334,9.18894383915033,1,6.0,0.5588427528808678,0,0.0,0.6121656738190576,1,11.0,0.7203129282488181,0,0.0,0.020802358998535404,2,17.0
400.0,-0.25,-16.500000000000004,320,0,0.0,318,0.99375,17,0,1,148,165,0,5.0,0.29411764705882354,10.781322335291351,0,0.0,0.8790416510874823,0,0.0,0.9548797622639572,0,2.0,0.9143546347889607,1,7.0,0.5910691050197808,1,9.0
405.0,-0.25,-16.550000000000004,324,0,0.0,322,0.9938271604938271,16,0,1,151,167,0,1.0,0.0625,10.098782817426041,0,0.0,0.7986636770540853,0,2.0,0.9627281698652054,1,3.0,0.38829438265557276,0,4.0,0.9062818194479048,1,9.0
410.0,-0.25,-16.600000000000005,328,0,0.0,326,0.9939024390243902,17,0,1,151,168,0,3.0,0.17647058823529413,8.71213040261111,1,3.0,0.39365377515531885,0,2.0,0.7608122984995195,0,3.0,0.38800535777642325,0,2.0,0.8767322091054576,1,10.0
415.0,-2.0,-17.000000000000007,332,0,0.0,330,0.9939759036144579,21,0,8,151,172,0,22.0,1.0476190476190477,7.334753214907145,3,14.0,0.4482101357954789,2,4.0,0.4875852070602159,1,2.0,0.00039271968459638737,2,6.0,0.0006654591375931364,8,26.0
420.0,-1.0,-17.200000000000006,336,0,0.0,334,0.9940476190476191,20,0,4,153,173,0,21.0,1.05,7.871124798289624,2,16.0,0.44721225529798003,1,8.0,0.6307029413292715,1,7.0,0.0,0,4.0,0.2390233188353097,4,35.0
